person,quest,days_to_complete,quest_start_date,quest_completion_date,number_of_shrubberies_utilized,goal_of_quest,reward_gbp,quest_difficulty,quest_companion,enemy_encountered,sacrifices_made,knights_lost,proclamations_made,number_of_times_fleeing,coconuts_utilized,jokes_told,injuries_sustained,morale_level
King Arthur,The Battle with the Black Knight,46.0,0581-12-06,0567-04-17,4,Defeat the Black Knight and continue the journey.,1267,Moderate,Tim the Enchanter,The Black Knight,A Few Good Knights,3,9,0,3,7,5,3
Lancelot,The Battle with the Black Knight,90.0,0516-09-20,0568-02-02,1,Defeat the Black Knight and continue the journey.,2267,Easy,Coconuts,The Three-Headed Giant,Coconuts Lost,4,3,0,1,17,5,10
King Arthur,The Rescue of Camelot,,,,6,Rescue Camelot from the invading forces.,8891,Easy,Sir Bedevere,The Three-Headed Giant,Coconuts Lost,5,9,0,1,7,2,3
King Arthur,The Search for the Shrubbery,58.0,0564-10-18,0517-08-28,0,Find a suitable shrubbery for the Knights Who Say Ni.,5048,Moderate,A Swallow,The Three-Headed Giant,Coconuts Lost,3,9,0,0,9,0,8
Lancelot,The Quest for the Holy Grail,76.0,0568-10-01,0576-04-04,7,Retrieve the Holy Grail.,2658,Hard,Sir Bedevere,French Taunter,None,4,10,0,5,14,3,5
Sir Robin,The Defeat of the Rabbit of Caerbannog,93.0,0538-08-17,0526-04-21,3,Destroy the ferocious Rabbit of Caerbannog.,3135,Hard,Coconuts,The Three-Headed Giant,A Few Good Knights,3,4,3,0,18,0,10
King Arthur,The Quest for the Holy Grail,48.0,0573-12-17,0565-11-07,2,Retrieve the Holy Grail.,3806,Impossible,Coconuts,The Black Knight,A Few Good Knights,0,8,0,6,20,3,8
King Arthur,The Defeat of the Rabbit of Caerbannog,68.0,0597-03-23,0599-06-05,9,Destroy the ferocious Rabbit of Caerbannog.,8317,Impossible,Patsy the Squire,The Three-Headed Giant,Coconuts Lost,2,0,0,2,14,3,1
King Arthur,Quest for the Golden Fleece,,,,5,Retrieve the legendary Golden Fleece.,2467,Easy,Coconuts,The Three-Headed Giant,None,0,6,0,5,5,0,7
Lancelot,Quest for the Golden Fleece,,,,5,Retrieve the legendary Golden Fleece.,3665,Hard,Patsy the Squire,French Taunter,None,3,6,0,2,5,4,10
Sir Robin,Quest for the Golden Fleece,,,,2,Retrieve the legendary Golden Fleece.,511,Moderate,Coconuts,French Taunter,None,2,9,3,5,11,3,8
King Arthur,The Siege of Swamp Castle,76.0,0599-04-18,0546-03-13,10,Lay siege to the Swamp Castle.,3939,Hard,Tim the Enchanter,The Black Knight,Coconuts Lost,1,7,0,1,1,1,3
Lancelot,The Siege of Swamp Castle,,,,10,Lay siege to the Swamp Castle.,9139,Easy,Tim the Enchanter,The Black Knight,A Few Good Knights,1,9,0,1,4,1,3
Sir Robin,The Siege of Swamp Castle,,,,0,Lay siege to the Swamp Castle.,6439,Easy,Sir Bedevere,The Black Knight,Coconuts Lost,2,8,2,6,2,3,8
King Arthur,The Hunt for the Dragon of Avalon,28.0,0505-08-07,0545-08-26,0,Track and slay the dragon terrorizing Avalon.,4347,Impossible,Tim the Enchanter,French Taunter,Coconuts Lost,5,9,0,1,2,5,1
Lancelot,The Hunt for the Dragon of Avalon,,,,3,Track and slay the dragon terrorizing Avalon.,9677,Easy,A Swallow,French Taunter,Coconuts Lost,4,4,0,6,0,5,1
Sir Robin,The Hunt for the Dragon of Avalon,45.0,0585-11-01,0568-11-25,8,Track and slay the dragon terrorizing Avalon.,338,Hard,A Swallow,The Three-Headed Giant,A Few Good Knights,3,2,2,4,13,5,5
King Arthur,The Journey to the Edge of the World,,,,10,Explore the farthest reaches of the known world.,2024,Impossible,Patsy the Squire,The Three-Headed Giant,Coconuts Lost,3,8,0,3,7,1,2
Lancelot,The Journey to the Edge of the World,37.0,0511-09-03,0512-10-27,10,Explore the farthest reaches of the known world.,3824,Moderate,A Swallow,The Three-Headed Giant,A Few Good Knights,4,6,0,2,3,3,5
Sir Robin,The Journey to the Edge of the World,56.0,0534-02-25,0556-10-12,10,Explore the farthest reaches of the known world.,2976,Impossible,Coconuts,French Taunter,A Few Good Knights,5,6,5,1,9,3,5
King Arthur,The Capture of the Enchanted Forest,,,,6,Claim the mystical Enchanted Forest for the kingdom.,2048,Moderate,Patsy the Squire,The Three-Headed Giant,None,0,8,0,2,3,0,4
Lancelot,The Capture of the Enchanted Forest,85.0,0552-06-05,0560-08-07,6,Claim the mystical Enchanted Forest for the kingdom.,6217,Easy,Coconuts,The Black Knight,Coconuts Lost,4,5,0,2,20,3,4
Sir Robin,The Capture of the Enchanted Forest,92.0,0539-06-05,0582-06-12,6,Claim the mystical Enchanted Forest for the kingdom.,4941,Moderate,Tim the Enchanter,The Three-Headed Giant,Coconuts Lost,2,10,4,0,17,1,1
King Arthur,The Defense of the Tower of Power,7.0,0590-11-25,0598-07-01,4,Defend the Tower of Power from invaders.,6562,Hard,A Swallow,The Knights Who Say Ni,A Few Good Knights,2,6,0,0,5,2,8
Lancelot,The Defense of the Tower of Power,56.0,0576-03-16,0586-10-09,9,Defend the Tower of Power from invaders.,4064,Impossible,Tim the Enchanter,Castle Anthrax,Coconuts Lost,1,8,0,2,1,2,1
Sir Robin,The Defense of the Tower of Power,91.0,0566-05-08,0557-06-23,10,Defend the Tower of Power from invaders.,361,Hard,Patsy the Squire,The Black Knight,None,5,10,3,1,17,1,9
King Arthur,Rescue the Princess from the Castle of Doom,,,,2,Rescue the captured princess from the dreaded Castle of Doom.,6402,Moderate,Patsy the Squire,Castle Anthrax,None,0,10,0,0,15,2,6
Lancelot,Rescue the Princess from the Castle of Doom,,,,1,Rescue the captured princess from the dreaded Castle of Doom.,5522,Moderate,A Swallow,French Taunter,A Few Good Knights,0,2,0,0,20,4,7
Sir Robin,Rescue the Princess from the Castle of Doom,90.0,0537-05-13,0542-03-22,2,Rescue the captured princess from the dreaded Castle of Doom.,847,Moderate,Patsy the Squire,Castle Anthrax,None,1,1,4,5,8,3,10
King Arthur,The Pilgrimage to the Sacred Mountain,16.0,0597-02-15,0520-03-24,10,Undertake a holy pilgrimage to the Sacred Mountain.,5192,Impossible,Coconuts,The Three-Headed Giant,None,3,10,0,6,20,3,4
Lancelot,The Pilgrimage to the Sacred Mountain,9.0,0511-01-13,0568-02-17,7,Undertake a holy pilgrimage to the Sacred Mountain.,8998,Easy,Tim the Enchanter,Castle Anthrax,Coconuts Lost,1,1,0,4,5,0,5
Sir Robin,The Pilgrimage to the Sacred Mountain,43.0,0556-03-10,0559-06-23,6,Undertake a holy pilgrimage to the Sacred Mountain.,3186,Easy,A Swallow,Castle Anthrax,None,0,0,2,0,17,2,9
King Arthur,The Search for the Sword of Destiny,89.0,0576-01-22,0544-12-18,7,Find the mythical Sword of Destiny.,1521,Hard,Sir Bedevere,Castle Anthrax,A Few Good Knights,5,8,0,3,20,1,5
Lancelot,The Search for the Sword of Destiny,76.0,0522-06-22,0585-10-22,5,Find the mythical Sword of Destiny.,9752,Impossible,Tim the Enchanter,The Three-Headed Giant,Coconuts Lost,3,6,0,0,13,5,9
Sir Robin,The Search for the Sword of Destiny,70.0,0541-10-15,0523-09-12,10,Find the mythical Sword of Destiny.,7443,Easy,Coconuts,Castle Anthrax,None,0,4,3,5,20,5,6
King Arthur,The Trial of the Crystal Cave,,,,2,Survive the perils of the Crystal Cave.,2661,Easy,Tim the Enchanter,The Knights Who Say Ni,A Few Good Knights,5,10,0,5,2,2,6
Lancelot,The Trial of the Crystal Cave,,,,9,Survive the perils of the Crystal Cave.,3888,Easy,A Swallow,The Knights Who Say Ni,A Few Good Knights,1,10,0,0,4,4,4
Sir Robin,The Trial of the Crystal Cave,,,,9,Survive the perils of the Crystal Cave.,4293,Easy,Tim the Enchanter,The Knights Who Say Ni,None,5,3,5,0,10,4,2
King Arthur,Quest for the Elixir of Life,94.0,0599-08-17,0536-07-10,8,Obtain the Elixir of Life from the Sorcerer.,349,Easy,Coconuts,The Three-Headed Giant,None,3,0,0,1,5,2,10
Lancelot,Quest for the Elixir of Life,,,,6,Obtain the Elixir of Life from the Sorcerer.,2730,Moderate,Tim the Enchanter,The Black Knight,Coconuts Lost,1,3,0,5,11,0,2
Sir Robin,Quest for the Elixir of Life,,,,1,Obtain the Elixir of Life from the Sorcerer.,956,Easy,Tim the Enchanter,The Knights Who Say Ni,A Few Good Knights,4,8,4,4,11,5,2
King Arthur,The Lost City of Atlantis,47.0,0585-09-20,0563-12-27,8,Discover the location of the lost city of Atlantis.,4573,Impossible,Tim the Enchanter,French Taunter,Coconuts Lost,5,9,0,1,17,3,5
Lancelot,The Lost City of Atlantis,,,,8,Discover the location of the lost city of Atlantis.,6742,Hard,Patsy the Squire,French Taunter,None,2,4,0,5,9,5,8
Sir Robin,The Lost City of Atlantis,,,,6,Discover the location of the lost city of Atlantis.,3785,Moderate,Patsy the Squire,The Black Knight,Coconuts Lost,0,0,4,3,7,2,3
King Arthur,The Battle of the Fiery Chasm,,,,0,Fight the enemy forces at the Fiery Chasm.,1873,Impossible,Patsy the Squire,French Taunter,A Few Good Knights,2,2,0,1,3,2,7
Lancelot,The Battle of the Fiery Chasm,94.0,0582-07-22,0518-07-05,6,Fight the enemy forces at the Fiery Chasm.,7445,Impossible,Tim the Enchanter,French Taunter,Coconuts Lost,1,1,0,4,8,3,1
Sir Robin,The Battle of the Fiery Chasm,,,,7,Fight the enemy forces at the Fiery Chasm.,518,Easy,Sir Bedevere,The Knights Who Say Ni,A Few Good Knights,2,8,5,5,7,1,5
King Arthur,The Siege of the Unbreakable Fortress,78.0,0531-06-24,0574-12-23,6,Break through the walls of the Unbreakable Fortress.,6510,Moderate,Coconuts,The Knights Who Say Ni,Coconuts Lost,1,4,0,2,2,4,7
Lancelot,The Siege of the Unbreakable Fortress,,,,9,Break through the walls of the Unbreakable Fortress.,9637,Hard,Sir Bedevere,French Taunter,Coconuts Lost,0,10,0,1,18,0,8
Sir Robin,The Siege of the Unbreakable Fortress,,,,9,Break through the walls of the Unbreakable Fortress.,4780,Hard,Patsy the Squire,The Black Knight,Coconuts Lost,1,7,2,4,15,5,8
King Arthur,Quest for the Ring of Eternal Fire,8.0,0524-10-18,0568-05-26,9,Find the Ring of Eternal Fire to gain ultimate power.,2649,Impossible,Tim the Enchanter,French Taunter,A Few Good Knights,5,4,0,0,19,1,1
Lancelot,Quest for the Ring of Eternal Fire,,,,7,Find the Ring of Eternal Fire to gain ultimate power.,1399,Moderate,A Swallow,Castle Anthrax,A Few Good Knights,1,1,0,0,15,5,5
Sir Robin,Quest for the Ring of Eternal Fire,89.0,0529-02-12,0593-03-24,9,Find the Ring of Eternal Fire to gain ultimate power.,7233,Impossible,Coconuts,Castle Anthrax,Coconuts Lost,3,0,4,1,11,1,2
King Arthur,Rescue the King from the Dungeon of Despair,54.0,0591-01-13,0543-06-22,6,Save the king who is trapped in the Dungeon of Despair.,2311,Easy,Sir Bedevere,The Black Knight,Coconuts Lost,0,0,0,0,20,2,4
Lancelot,Rescue the King from the Dungeon of Despair,50.0,0580-01-20,0513-12-10,0,Save the king who is trapped in the Dungeon of Despair.,1591,Hard,Coconuts,The Knights Who Say Ni,A Few Good Knights,5,0,0,5,5,3,4
Sir Robin,Rescue the King from the Dungeon of Despair,,,,2,Save the king who is trapped in the Dungeon of Despair.,2700,Easy,Sir Bedevere,The Black Knight,Coconuts Lost,0,8,4,3,17,0,2
King Arthur,The Voyage to the Isle of the Dead,50.0,0516-04-20,0594-12-27,4,Sail to the Isle of the Dead and return alive.,9925,Easy,Coconuts,French Taunter,A Few Good Knights,3,7,0,5,17,4,6
Lancelot,The Voyage to the Isle of the Dead,70.0,0595-11-14,0517-03-10,9,Sail to the Isle of the Dead and return alive.,7388,Moderate,Sir Bedevere,The Three-Headed Giant,Coconuts Lost,1,7,0,0,11,3,2
Sir Robin,The Voyage to the Isle of the Dead,61.0,0589-03-14,0544-06-02,10,Sail to the Isle of the Dead and return alive.,1575,Impossible,Sir Bedevere,The Black Knight,A Few Good Knights,4,3,3,3,11,2,2
King Arthur,The Defeat of the Ice Giants,22.0,0579-06-16,0511-12-23,8,Overcome the Ice Giants who threaten the kingdom.,2392,Hard,Coconuts,The Black Knight,None,0,2,0,0,19,2,7
Lancelot,The Defeat of the Ice Giants,,,,3,Overcome the Ice Giants who threaten the kingdom.,3687,Moderate,Sir Bedevere,The Knights Who Say Ni,Coconuts Lost,5,5,0,3,4,5,3
Sir Robin,The Defeat of the Ice Giants,45.0,0525-09-19,0571-09-22,8,Overcome the Ice Giants who threaten the kingdom.,9879,Impossible,Coconuts,French Taunter,None,0,9,3,6,18,5,3
King Arthur,The Rescue of the Enchanted Maiden,51.0,0565-01-08,0516-09-09,7,Rescue the Enchanted Maiden from the evil sorcerer.,8501,Easy,Patsy the Squire,Castle Anthrax,Coconuts Lost,4,6,0,1,13,5,1
Lancelot,The Rescue of the Enchanted Maiden,62.0,0554-06-27,0560-10-23,5,Rescue the Enchanted Maiden from the evil sorcerer.,757,Hard,Tim the Enchanter,The Black Knight,None,3,7,0,3,11,2,2
Sir Robin,The Rescue of the Enchanted Maiden,5.0,0508-11-01,0523-02-07,6,Rescue the Enchanted Maiden from the evil sorcerer.,205,Impossible,Patsy the Squire,The Three-Headed Giant,A Few Good Knights,1,1,0,5,12,5,6
King Arthur,The Liberation of the Forest of Shadows,,,,7,Liberate the Forest of Shadows from dark forces.,6335,Hard,Patsy the Squire,The Three-Headed Giant,A Few Good Knights,1,2,0,3,19,3,9
Lancelot,The Liberation of the Forest of Shadows,49.0,0506-04-27,0564-03-15,1,Liberate the Forest of Shadows from dark forces.,6596,Easy,A Swallow,The Knights Who Say Ni,A Few Good Knights,3,10,0,0,6,3,2
Sir Robin,The Liberation of the Forest of Shadows,43.0,0525-10-01,0553-01-09,2,Liberate the Forest of Shadows from dark forces.,3767,Moderate,Sir Bedevere,The Knights Who Say Ni,A Few Good Knights,1,2,3,4,1,3,8
King Arthur,The Battle of the Valley of Despair,15.0,0504-06-07,0537-01-01,10,Lead your army to victory in the Valley of Despair.,3328,Impossible,Tim the Enchanter,Castle Anthrax,None,3,9,0,1,0,3,9
Lancelot,The Battle of the Valley of Despair,5.0,0553-07-16,0526-05-12,8,Lead your army to victory in the Valley of Despair.,5582,Moderate,Coconuts,The Three-Headed Giant,None,4,0,0,5,8,4,8
Sir Robin,The Battle of the Valley of Despair,,,,0,Lead your army to victory in the Valley of Despair.,1112,Easy,Sir Bedevere,The Knights Who Say Ni,Coconuts Lost,2,6,5,1,7,5,3
King Arthur,The Journey to the Land of Giants,32.0,0553-08-12,0573-03-06,9,Venture into the Land of Giants to negotiate peace.,7752,Moderate,Patsy the Squire,The Three-Headed Giant,Coconuts Lost,1,10,0,2,4,4,5
Lancelot,The Journey to the Land of Giants,,,,10,Venture into the Land of Giants to negotiate peace.,7115,Moderate,Patsy the Squire,French Taunter,A Few Good Knights,2,7,0,5,0,1,8
Sir Robin,The Journey to the Land of Giants,92.0,0535-09-21,0593-02-24,0,Venture into the Land of Giants to negotiate peace.,7059,Hard,Tim the Enchanter,French Taunter,None,1,5,4,1,9,5,2
King Arthur,Quest for the Phoenix Feather,,,,4,Obtain the Phoenix Feather for magical powers.,4568,Hard,A Swallow,The Knights Who Say Ni,A Few Good Knights,1,2,0,5,13,4,8
Lancelot,Quest for the Phoenix Feather,99.0,0597-04-27,0514-10-13,7,Obtain the Phoenix Feather for magical powers.,1436,Moderate,Coconuts,The Knights Who Say Ni,A Few Good Knights,0,7,0,4,14,2,4
Sir Robin,Quest for the Phoenix Feather,15.0,0569-08-27,0501-11-01,3,Obtain the Phoenix Feather for magical powers.,1408,Impossible,Sir Bedevere,The Three-Headed Giant,None,0,10,4,0,5,2,6
King Arthur,The Siege of the Fortress of Solitude,,,,0,Conquer the impenetrable Fortress of Solitude.,6539,Impossible,Coconuts,The Knights Who Say Ni,None,5,7,0,1,14,5,8
Lancelot,The Siege of the Fortress of Solitude,,,,8,Conquer the impenetrable Fortress of Solitude.,7963,Moderate,Tim the Enchanter,The Black Knight,Coconuts Lost,0,0,0,3,19,3,5
Sir Robin,The Siege of the Fortress of Solitude,46.0,0595-09-17,0535-06-20,5,Conquer the impenetrable Fortress of Solitude.,3600,Easy,Patsy the Squire,The Knights Who Say Ni,A Few Good Knights,0,8,2,2,17,2,9
King Arthur,The Trial of the Seven Swords,19.0,0569-12-08,0559-09-17,0,Complete the trial of the Seven Swords to prove your worth.,7631,Hard,Patsy the Squire,The Black Knight,A Few Good Knights,3,10,0,2,9,5,8
Lancelot,The Trial of the Seven Swords,48.0,0504-05-13,0592-02-01,8,Complete the trial of the Seven Swords to prove your worth.,4934,Moderate,Patsy the Squire,The Three-Headed Giant,None,2,3,0,1,7,5,8
Sir Robin,The Trial of the Seven Swords,,,,7,Complete the trial of the Seven Swords to prove your worth.,2178,Impossible,Tim the Enchanter,The Knights Who Say Ni,A Few Good Knights,4,2,1,3,20,0,6
King Arthur,Rescue the Oracle from the Cave of Echoes,71.0,0508-10-06,0518-07-02,0,Save the Oracle trapped in the Cave of Echoes.,941,Moderate,Tim the Enchanter,French Taunter,Coconuts Lost,2,9,0,5,7,0,7
Lancelot,Rescue the Oracle from the Cave of Echoes,13.0,0549-02-02,0565-12-02,4,Save the Oracle trapped in the Cave of Echoes.,1268,Hard,Patsy the Squire,French Taunter,None,5,8,0,0,10,4,1
Sir Robin,Rescue the Oracle from the Cave of Echoes,,,,6,Save the Oracle trapped in the Cave of Echoes.,8615,Impossible,A Swallow,Castle Anthrax,Coconuts Lost,0,2,5,4,14,4,7
King Arthur,The Search for the Chalice of Immortality,,,,5,Find the Chalice of Immortality to grant eternal life.,6012,Impossible,Patsy the Squire,The Knights Who Say Ni,Coconuts Lost,0,5,0,0,1,4,4
Lancelot,The Search for the Chalice of Immortality,35.0,0508-10-24,0570-08-02,7,Find the Chalice of Immortality to grant eternal life.,9170,Hard,Sir Bedevere,The Knights Who Say Ni,None,0,0,0,4,10,5,1
Sir Robin,The Search for the Chalice of Immortality,74.0,0570-04-08,0519-07-27,5,Find the Chalice of Immortality to grant eternal life.,4457,Moderate,A Swallow,The Black Knight,A Few Good Knights,4,9,2,4,7,3,6
King Arthur,The Battle for the Crown of Thorns,50.0,0549-02-08,0599-02-09,9,Fight for control of the Crown of Thorns.,6331,Easy,Patsy the Squire,The Knights Who Say Ni,Coconuts Lost,4,5,0,1,3,4,7
Lancelot,The Battle for the Crown of Thorns,38.0,0593-11-07,0505-10-18,0,Fight for control of the Crown of Thorns.,3625,Hard,Tim the Enchanter,The Knights Who Say Ni,None,5,6,0,0,1,1,6
Sir Robin,The Battle for the Crown of Thorns,,,,0,Fight for control of the Crown of Thorns.,872,Impossible,A Swallow,The Three-Headed Giant,Coconuts Lost,3,2,3,0,20,1,5
King Arthur,The Liberation of the Sapphire Sea,,,,10,Free the Sapphire Sea from the clutches of pirates.,5339,Hard,Patsy the Squire,The Knights Who Say Ni,Coconuts Lost,0,3,0,4,15,2,8
Lancelot,The Liberation of the Sapphire Sea,24.0,0509-08-10,0578-07-13,5,Free the Sapphire Sea from the clutches of pirates.,711,Impossible,A Swallow,Castle Anthrax,None,3,2,0,2,17,2,10
Sir Robin,The Liberation of the Sapphire Sea,,,,1,Free the Sapphire Sea from the clutches of pirates.,4482,Hard,A Swallow,The Black Knight,A Few Good Knights,3,8,1,0,17,4,9
King Arthur,Quest for the Key of Time,,,,8,Locate the Key of Time to unlock forgotten realms.,2298,Hard,Tim the Enchanter,The Black Knight,None,0,9,0,3,19,3,7
Lancelot,Quest for the Key of Time,,,,1,Locate the Key of Time to unlock forgotten realms.,8224,Moderate,Tim the Enchanter,French Taunter,None,3,8,0,2,16,3,1
Sir Robin,Quest for the Key of Time,,,,9,Locate the Key of Time to unlock forgotten realms.,224,Impossible,Sir Bedevere,The Three-Headed Giant,A Few Good Knights,0,2,0,2,19,3,5
King Arthur,The Duel of the Twin Peaks,,,,7,Face your nemesis in the Duel of the Twin Peaks.,7114,Impossible,Coconuts,Castle Anthrax,A Few Good Knights,0,10,0,4,16,1,3
Lancelot,The Duel of the Twin Peaks,12.0,0573-09-16,0592-09-06,5,Face your nemesis in the Duel of the Twin Peaks.,4953,Moderate,A Swallow,Castle Anthrax,Coconuts Lost,1,7,0,3,6,0,3
Sir Robin,The Duel of the Twin Peaks,54.0,0540-06-13,0545-05-10,1,Face your nemesis in the Duel of the Twin Peaks.,6475,Moderate,Coconuts,The Black Knight,Coconuts Lost,1,1,2,6,5,0,3
King Arthur,The Defeat of the Shadow Lord,,,,5,Vanquish the Shadow Lord and restore peace.,6922,Hard,A Swallow,French Taunter,A Few Good Knights,4,6,0,6,6,4,1
Lancelot,The Defeat of the Shadow Lord,,,,1,Vanquish the Shadow Lord and restore peace.,6342,Moderate,Patsy the Squire,The Black Knight,Coconuts Lost,4,2,0,0,18,4,5
Sir Robin,The Defeat of the Shadow Lord,19.0,0576-12-01,0523-06-26,0,Vanquish the Shadow Lord and restore peace.,3041,Easy,Sir Bedevere,The Black Knight,Coconuts Lost,3,10,5,3,11,1,4
King Arthur,The Siege of the Iron Wall,,,,10,Breach the Iron Wall and claim victory.,8191,Impossible,Tim the Enchanter,French Taunter,A Few Good Knights,5,5,0,4,12,1,6
Lancelot,The Siege of the Iron Wall,94.0,0512-06-16,0500-03-02,5,Breach the Iron Wall and claim victory.,8691,Impossible,Sir Bedevere,The Knights Who Say Ni,Coconuts Lost,1,3,0,5,12,0,3
Sir Robin,The Siege of the Iron Wall,27.0,0569-08-18,0540-08-17,1,Breach the Iron Wall and claim victory.,3581,Easy,Tim the Enchanter,The Three-Headed Giant,A Few Good Knights,4,1,5,3,4,2,8
King Arthur,The Defense of the Silver City,,,,7,Protect the Silver City from attackers.,8083,Moderate,A Swallow,Castle Anthrax,Coconuts Lost,4,5,0,3,0,1,3
Lancelot,The Defense of the Silver City,,,,4,Protect the Silver City from attackers.,1016,Impossible,Sir Bedevere,Castle Anthrax,A Few Good Knights,5,3,0,1,18,3,5
Sir Robin,The Defense of the Silver City,24.0,0546-06-25,0522-10-09,5,Protect the Silver City from attackers.,7189,Moderate,Coconuts,French Taunter,A Few Good Knights,2,5,1,0,1,3,1
King Arthur,The Capture of the Great Eagle,,,,3,Capture the Great Eagle for the kingdom.,2261,Easy,A Swallow,The Knights Who Say Ni,A Few Good Knights,1,6,0,3,13,4,10
Lancelot,The Capture of the Great Eagle,100.0,0575-07-17,0558-04-02,0,Capture the Great Eagle for the kingdom.,5936,Hard,Patsy the Squire,Castle Anthrax,A Few Good Knights,3,10,0,2,9,1,1
Sir Robin,The Capture of the Great Eagle,49.0,0588-10-28,0545-10-12,7,Capture the Great Eagle for the kingdom.,5131,Easy,Patsy the Squire,The Knights Who Say Ni,A Few Good Knights,4,9,4,5,17,5,5
King Arthur,The Journey to the Tower of Eternity,,,,7,Climb the Tower of Eternity to reach enlightenment.,2287,Impossible,Coconuts,The Three-Headed Giant,Coconuts Lost,0,3,0,0,12,0,1
Lancelot,The Journey to the Tower of Eternity,93.0,0552-07-24,0514-06-10,8,Climb the Tower of Eternity to reach enlightenment.,9741,Moderate,Tim the Enchanter,Castle Anthrax,None,2,6,0,1,13,0,3
Sir Robin,The Journey to the Tower of Eternity,,,,1,Climb the Tower of Eternity to reach enlightenment.,5549,Impossible,Coconuts,The Three-Headed Giant,None,0,4,3,3,18,3,9
King Arthur,The Battle for the Mystic Orb,,,,4,Battle to obtain the Mystic Orb of immense power.,7972,Hard,Patsy the Squire,The Knights Who Say Ni,None,2,3,0,4,17,2,3
Lancelot,The Battle for the Mystic Orb,37.0,0527-09-07,0514-12-09,2,Battle to obtain the Mystic Orb of immense power.,1442,Easy,Tim the Enchanter,The Knights Who Say Ni,A Few Good Knights,5,1,0,0,18,3,8
Sir Robin,The Battle for the Mystic Orb,,,,2,Battle to obtain the Mystic Orb of immense power.,4716,Moderate,Tim the Enchanter,Castle Anthrax,A Few Good Knights,2,2,2,2,17,5,4
King Arthur,The Siege of Dragon's Peak,,,,2,Lay siege to Dragon's Peak and defeat the dragon.,689,Hard,Patsy the Squire,The Knights Who Say Ni,A Few Good Knights,0,4,0,3,7,1,1
Lancelot,The Siege of Dragon's Peak,73.0,0534-08-16,0572-09-02,7,Lay siege to Dragon's Peak and defeat the dragon.,237,Easy,Coconuts,French Taunter,None,1,7,0,6,15,1,2
Sir Robin,The Siege of Dragon's Peak,74.0,0599-02-16,0547-10-14,1,Lay siege to Dragon's Peak and defeat the dragon.,1043,Hard,Coconuts,The Knights Who Say Ni,Coconuts Lost,0,3,5,1,1,3,2
King Arthur,The Search for the Amulet of the Gods,87.0,0581-05-13,0587-01-26,1,Find the Amulet of the Gods to gain divine favor.,1646,Moderate,Coconuts,French Taunter,None,1,2,0,5,6,1,8
Lancelot,The Search for the Amulet of the Gods,25.0,0535-09-28,0598-02-04,3,Find the Amulet of the Gods to gain divine favor.,2366,Moderate,Tim the Enchanter,Castle Anthrax,None,1,0,0,1,1,1,2
Sir Robin,The Search for the Amulet of the Gods,20.0,0536-12-15,0563-06-04,7,Find the Amulet of the Gods to gain divine favor.,8118,Impossible,Coconuts,The Black Knight,Coconuts Lost,3,8,3,5,5,1,2
King Arthur,The Trial of the Ancient Guardians,76.0,0537-12-05,0524-01-22,10,Face the Ancient Guardians and prove your strength.,5513,Easy,Tim the Enchanter,The Knights Who Say Ni,A Few Good Knights,3,5,0,1,4,5,5
